1	2.24242424242424	3.48484848484848	4.72727272727273	5.96969696969697	7.21212121212121	8.45454545454545	9.6969696969697	10.9393939393939	12.1818181818182	13.4242424242424	14.6666666666667	15.9090909090909	17.1515151515151	18.3939393939394	19.6363636363636	20.8787878787879	22.1212121212121	23.3636363636364	24.6060606060606	25.8484848484848	27.0909090909091	28.3333333333333	29.5757575757576	30.8181818181818	32.0606060606061	33.3030303030303	34.5454545454545	35.7878787878788	37.030303030303	38.2727272727273	39.5151515151515	40.7575757575758	42	43.2424242424242	44.4848484848485	45.7272727272727	46.969696969697	48.2121212121212	49.4545454545454	50.6969696969697	51.9393939393939	53.1818181818182	54.4242424242424	55.6666666666667	56.9090909090909	58.1515151515151	59.3939393939394	60.6363636363636	61.8787878787879	63.1212121212121	64.3636363636364	65.6060606060606	66.8484848484849	68.0909090909091	69.3333333333334	70.5757575757576	71.8181818181819	73.0606060606061	74.3030303030304	75.5454545454546	76.7878787878789	78.0303030303031	79.2727272727274	80.5151515151516	81.7575757575759	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83
80.5151515151516	81.7575757575759	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5
83	83	83	83	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69
65.5	65.5	65.5	65.5	65.5	65.5	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73
69	69	69	69	69	69	69	69	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4
73	73	73	73	73	73	73	73	73	73	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33
75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77
76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	76.33	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62
77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78
77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	77.62	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5
