1	2.07575757575758	3.15151515151515	4.22727272727273	5.3030303030303	6.37878787878788	7.45454545454546	8.53030303030303	9.60606060606061	10.6818181818182	11.7575757575758	12.8333333333333	13.9090909090909	14.9848484848485	16.0606060606061	17.1363636363636	18.2121212121212	19.2878787878788	20.3636363636364	21.4393939393939	22.5151515151515	23.5909090909091	24.6666666666667	25.7424242424242	26.8181818181818	27.8939393939394	28.969696969697	30.0454545454545	31.1212121212121	32.1969696969697	33.2727272727273	34.3484848484848	35.4242424242424	36.5	37.5757575757576	38.6515151515151	39.7272727272727	40.8030303030303	41.8787878787879	42.9545454545455	44.030303030303	45.1060606060606	46.1818181818182	47.2575757575758	48.3333333333333	49.4090909090909	50.4848484848485	51.5606060606061	52.6363636363637	53.7121212121212	54.7878787878788	55.8636363636364	56.939393939394	58.0151515151516	59.0909090909091	60.1666666666667	61.2424242424243	62.3181818181819	63.3939393939394	64.469696969697	65.5454545454546	66.6212121212122	67.6969696969697	68.7727272727273	69.8484848484849	70.9242424242425	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72
69.8484848484849	70.9242424242425	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72
72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33
72	72	72	72	72	72	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75
72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.33	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74
72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	72.75	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5
74	74	74	74	74	74	74	74	74	74	74	74	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14
75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38
77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	77.14	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33
78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	78.38	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1
79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	79.33	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73
80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.1	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25
80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	80.73	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69
81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.25	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	81.69	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82
