1	2.01538461538462	3.03076923076923	4.04615384615385	5.06153846153846	6.07692307692308	7.09230769230769	8.10769230769231	9.12307692307692	10.1384615384615	11.1538461538462	12.1692307692308	13.1846153846154	14.2	15.2153846153846	16.2307692307692	17.2461538461538	18.2615384615385	19.2769230769231	20.2923076923077	21.3076923076923	22.3230769230769	23.3384615384615	24.3538461538462	25.3692307692308	26.3846153846154	27.4	28.4153846153846	29.4307692307692	30.4461538461538	31.4615384615385	32.4769230769231	33.4923076923077	34.5076923076923	35.5230769230769	36.5384615384615	37.5538461538462	38.5692307692308	39.5846153846154	40.6	41.6153846153846	42.6307692307693	43.6461538461539	44.6615384615385	45.6769230769231	46.6923076923077	47.7076923076924	48.723076923077	49.7384615384616	50.7538461538462	51.7692307692308	52.7846153846154	53.8000000000001	54.8153846153847	55.8307692307693	56.8461538461539	57.8615384615385	58.8769230769232	59.8923076923078	60.9076923076924	61.923076923077	62.9384615384616	63.9538461538463	64.9692307692309	65.9846153846155	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
65.9846153846155	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61
67	67	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66
61	61	61	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5
66	66	66	66	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2
65.5	65.5	65.5	65.5	65.5	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65.2	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65
65.2	65.2	65.2	65.2	65.2	65.2	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14
65	65	65	65	65	65	65	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5
64.14	64.14	64.14	64.14	64.14	64.14	64.14	64.14	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56
63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.56	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6	63.6
