1	2.06153846153846	3.12307692307692	4.18461538461538	5.24615384615385	6.30769230769231	7.36923076923077	8.43076923076923	9.49230769230769	10.5538461538462	11.6153846153846	12.6769230769231	13.7384615384615	14.8	15.8615384615385	16.9230769230769	17.9846153846154	19.0461538461538	20.1076923076923	21.1692307692308	22.2307692307692	23.2923076923077	24.3538461538461	25.4153846153846	26.4769230769231	27.5384615384615	28.6	29.6615384615385	30.7230769230769	31.7846153846154	32.8461538461538	33.9076923076923	34.9692307692308	36.0307692307692	37.0923076923077	38.1538461538461	39.2153846153846	40.2769230769231	41.3384615384615	42.4	43.4615384615385	44.5230769230769	45.5846153846154	46.6461538461538	47.7076923076923	48.7692307692308	49.8307692307692	50.8923076923077	51.9538461538461	53.0153846153846	54.0769230769231	55.1384615384615	56.2	57.2615384615384	58.3230769230769	59.3846153846154	60.4461538461538	61.5076923076923	62.5692307692308	63.6307692307692	64.6923076923077	65.7538461538461	66.8153846153846	67.8769230769231	68.9384615384615	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70
68.9384615384615	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61
70	70	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65
61	61	61	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5
65	65	65	65	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4
69.5	69.5	69.5	69.5	69.5	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	77.4	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67
77.4	77.4	77.4	77.4	77.4	77.4	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	72.67	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71
72.67	72.67	72.67	72.67	72.67	72.67	72.67	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38
73.71	73.71	73.71	73.71	73.71	73.71	73.71	73.71	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78
74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.38	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	74.78	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1
