1	2.89230769230769	4.78461538461538	6.67692307692308	8.56923076923077	10.4615384615385	12.3538461538462	14.2461538461538	16.1384615384615	18.0307692307692	19.9230769230769	21.8153846153846	23.7076923076923	25.6	27.4923076923077	29.3846153846154	31.2769230769231	33.1692307692308	35.0615384615385	36.9538461538462	38.8461538461538	40.7384615384615	42.6307692307692	44.5230769230769	46.4153846153846	48.3076923076923	50.2	52.0923076923077	53.9846153846154	55.876923076923	57.7692307692307	59.6615384615384	61.5538461538461	63.4461538461538	65.3384615384615	67.2307692307692	69.1230769230769	71.0153846153846	72.9076923076923	74.8	76.6923076923077	78.5846153846154	80.4769230769231	82.3692307692308	84.2615384615384	86.1538461538461	88.0461538461538	89.9384615384615	91.8307692307692	93.7230769230769	95.6153846153846	97.5076923076923	99.4	101.292307692308	103.184615384615	105.076923076923	106.969230769231	108.861538461539	110.753846153846	112.646153846154	114.538461538462	116.430769230769	118.323076923077	120.215384615385	122.107692307692	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
122.107692307692	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5
124	124	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	97.5	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33
97.5	97.5	97.5	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.33	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25
83.33	83.33	83.33	83.33	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.25	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2
83.25	83.25	83.25	83.25	83.25	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82
83.2	83.2	83.2	83.2	83.2	83.2	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81
82	82	82	82	82	82	82	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75
81	81	81	81	81	81	81	81	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78
79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	79.75	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.78	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4	78.4
