1	1.83076923076923	2.66153846153846	3.49230769230769	4.32307692307692	5.15384615384615	5.98461538461538	6.81538461538462	7.64615384615385	8.47692307692308	9.30769230769231	10.1384615384615	10.9692307692308	11.8	12.6307692307692	13.4615384615385	14.2923076923077	15.1230769230769	15.9538461538462	16.7846153846154	17.6153846153846	18.4461538461539	19.2769230769231	20.1076923076923	20.9384615384615	21.7692307692308	22.6	23.4307692307692	24.2615384615385	25.0923076923077	25.9230769230769	26.7538461538462	27.5846153846154	28.4153846153846	29.2461538461539	30.0769230769231	30.9076923076923	31.7384615384616	32.5692307692308	33.4	34.2307692307692	35.0615384615385	35.8923076923077	36.7230769230769	37.5538461538462	38.3846153846154	39.2153846153846	40.0461538461538	40.8769230769231	41.7076923076923	42.5384615384615	43.3692307692307	44.2	45.0307692307692	45.8615384615384	46.6923076923077	47.5230769230769	48.3538461538461	49.1846153846153	50.0153846153846	50.8461538461538	51.676923076923	52.5076923076923	53.3384615384615	54.1692307692307	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55
54.1692307692307	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69
55	55	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73
69	69	69	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75
73	73	73	73	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	75.75	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78
75.75	75.75	75.75	75.75	75.75	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33
78	78	78	78	78	78	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	80.33	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82
80.33	80.33	80.33	80.33	80.33	80.33	80.33	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83
82	82	82	82	82	82	82	82	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78
83	83	83	83	83	83	83	83	83	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	83.78	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4
